VonArm,NachArm,Von,Bis,Pkw,Krad,Rad,Lieferfzg,Lkw,Lastzug,Bus
1,2,2/8/2022 0:00,2/8/2022 0:15,2,0,0,0,0,0,0
1,3,2/8/2022 0:00,2/8/2022 0:15,0,0,0,0,0,0,0
1,4,2/8/2022 0:00,2/8/2022 0:15,0,0,0,0,0,0,0
2,1,2/8/2022 0:00,2/8/2022 0:15,5,0,0,0,0,0,0
2,3,2/8/2022 0:00,2/8/2022 0:15,2,0,0,0,0,0,0
2,4,2/8/2022 0:00,2/8/2022 0:15,0,0,0,0,0,0,0
3,1,2/8/2022 0:00,2/8/2022 0:15,2,0,0,0,0,0,0
3,2,2/8/2022 0:00,2/8/2022 0:15,0,0,0,0,0,0,0
3,4,2/8/2022 0:00,2/8/2022 0:15,0,0,0,0,0,0,0
4,1,2/8/2022 0:00,2/8/2022 0:15,0,0,0,0,0,0,0
4,2,2/8/2022 0:00,2/8/2022 0:15,0,0,0,0,0,0,0
4,3,2/8/2022 0:00,2/8/2022 0:15,0,0,0,0,0,0,0
1,2,2/8/2022 0:15,2/8/2022 0:30,3,0,0,0,0,0,0
1,3,2/8/2022 0:15,2/8/2022 0:30,1,0,0,0,0,0,0
1,4,2/8/2022 0:15,2/8/2022 0:30,0,0,0,0,0,0,0
2,1,2/8/2022 0:15,2/8/2022 0:30,4,0,0,0,0,1,0
2,3,2/8/2022 0:15,2/8/2022 0:30,1,0,0,0,0,1,0
2,4,2/8/2022 0:15,2/8/2022 0:30,0,0,0,0,0,0,0
3,1,2/8/2022 0:15,2/8/2022 0:30,0,0,0,0,0,0,0
3,2,2/8/2022 0:15,2/8/2022 0:30,2,0,0,0,0,0,0
3,4,2/8/2022 0:15,2/8/2022 0:30,0,0,0,0,0,0,0
4,1,2/8/2022 0:15,2/8/2022 0:30,0,0,0,0,0,0,0
4,2,2/8/2022 0:15,2/8/2022 0:30,0,0,0,0,0,0,0
4,3,2/8/2022 0:15,2/8/2022 0:30,0,0,0,0,0,0,0
1,2,2/8/2022 0:30,2/8/2022 0:45,0,0,0,0,0,3,0
1,3,2/8/2022 0:30,2/8/2022 0:45,0,0,0,0,0,0,0
1,4,2/8/2022 0:30,2/8/2022 0:45,0,0,0,0,0,0,0
2,1,2/8/2022 0:30,2/8/2022 0:45,1,0,0,0,0,2,0
2,3,2/8/2022 0:30,2/8/2022 0:45,0,0,0,0,0,0,0
2,4,2/8/2022 0:30,2/8/2022 0:45,0,0,0,0,0,0,0
3,1,2/8/2022 0:30,2/8/2022 0:45,0,0,0,0,0,0,0
3,2,2/8/2022 0:30,2/8/2022 0:45,0,0,0,0,0,0,0
3,4,2/8/2022 0:30,2/8/2022 0:45,0,0,0,0,0,0,0
4,1,2/8/2022 0:30,2/8/2022 0:45,0,0,0,0,0,0,0
4,2,2/8/2022 0:30,2/8/2022 0:45,0,0,0,0,0,0,0
4,3,2/8/2022 0:30,2/8/2022 0:45,0,0,0,0,0,0,0
1,2,2/8/2022 0:45,2/8/2022 1:00,4,0,0,0,0,0,0
1,3,2/8/2022 0:45,2/8/2022 1:00,0,0,0,0,0,0,0
1,4,2/8/2022 0:45,2/8/2022 1:00,0,0,0,0,0,0,0
2,1,2/8/2022 0:45,2/8/2022 1:00,1,0,0,0,0,0,0
2,3,2/8/2022 0:45,2/8/2022 1:00,0,0,0,0,0,0,0
